cultura	regiao	area	prod	rend
CANA	PRSP	1075623	83835967	77942
CANA	PRSP	66279	5618400	84769
CANA	PRSP	1600	128000	80000
CANA	PRSP	800	68000	85000
CANA	PRSP	2000	160000	80000
CANA	PRSP	2600	234000	90000
CANA	PRSP	5500	495000	90000
CANA	PRSP	370	29600	80000
CANA	PRSP	6780	488160	72000
CANA	PRSP	1280	115200	90000
CANA	PRSP	800	56000	70000
CANA	PRSP	5690	512100	90000
CANA	PRSP	6250	625000	100000
CANA	PRSP	11000	880000	80000
CANA	PRSP	2507	200560	80000
CANA	PRSP	5900	495600	84000
CANA	PRSP	97	6790	70000
CANA	PRSP	164	14760	90000
CANA	PRSP	4910	343700	70000
CANA	PRSP	102	10200	100000
CANA	PRSP	1475	103250	70000
CANA	PRSP	1500	135000	90000
CANA	PRSP	1100	66000	60000
CANA	PRSP	3304	396480	120000
CANA	PRSP	550	55000	100000
CANA	PRSP	73400	5615900	76511
CANA	PRSP	8170	653600	80000
CANA	PRSP	17000	1360000	80000
CANA	PRSP	1500	120000	80000
CANA	PRSP	5000	400000	80000
CANA	PRSP	7000	560000	80000
CANA	PRSP	7140	535500	75000
CANA	PRSP	1500	120000	80000
CANA	PRSP	9760	732000	75000
CANA	PRSP	7500	525000	70000
CANA	PRSP	4000	320000	80000
CANA	PRSP	4830	289800	60000
CANA	PRSP	95205	7430663	78049
CANA	PRSP	12184	913826	75002
CANA	PRSP	7200	504000	70000
CANA	PRSP	16673	1200456	72000
CANA	PRSP	17000	1360000	80000
CANA	PRSP	1700	136000	80000
CANA	PRSP	8400	604800	72000
CANA	PRSP	19943	1834756	92000
CANA	PRSP	3105	201825	65000
CANA	PRSP	9000	675000	75000
CANA	PRSP	473989	36199463	76372
CANA	PRSP	7266	653940	90000
CANA	PRSP	53000	3710000	70000
CANA	PRSP	1775	159750	90000
CANA	PRSP	6600	462000	70000
CANA	PRSP	5400	486000	90000
CANA	PRSP	13300	1064000	80000
CANA	PRSP	39900	3192000	80000
CANA	PRSP	12700	1016000	80000
CANA	PRSP	10400	572000	55000
CANA	PRSP	2470	220500	89271
CANA	PRSP	5618	617980	110000
CANA	PRSP	36000	2520000	70000
CANA	PRSP	6320	568800	90000
CANA	PRSP	7310	621350	85000
CANA	PRSP	5000	350000	70000
CANA	PRSP	8800	795000	90341
CANA	PRSP	15000	1050000	70000
CANA	PRSP	43800	3285000	75000
CANA	PRSP	8300	585565	70550
CANA	PRSP	24323	1489380	61233
CANA	PRSP	34000	2163000	63618
CANA	PRSP	31000	2790000	90000
CANA	PRSP	11407	877198	76900
CANA	PRSP	13600	1224000	90000
CANA	PRSP	6000	600000	100000
CANA	PRSP	30000	2100000	70000
CANA	PRSP	12000	1080000	90000
CANA	PRSP	13000	1170000	90000
CANA	PRSP	9700	776000	80000
CANA	PRSP	127459	10464174	82098
CANA	PRSP	8600	731000	85000
CANA	PRSP	8000	640000	80000
CANA	PRSP	15423	1310955	85000
CANA	PRSP	8500	722500	85000
CANA	PRSP	6167	444024	72000
CANA	PRSP	6150	522750	85000
CANA	PRSP	5000	375000	75000
CANA	PRSP	3903	331755	85000
CANA	PRSP	8500	684250	80500
CANA	PRSP	8000	680000	85000
CANA	PRSP	23500	1880000	80000
CANA	PRSP	6900	448500	65000
CANA	PRSP	18816	1693440	90000
CANA	PRSP	55237	3916994	70913
CANA	PRSP	7000	490000	70000
CANA	PRSP	3000	270000	90000
CANA	PRSP	5329	423359	79444
CANA	PRSP	13000	845000	65000
CANA	PRSP	3000	216000	72000
CANA	PRSP	14600	1095000	75000
CANA	PRSP	4200	256200	61000
CANA	PRSP	2108	141435	67094
CANA	PRSP	3000	180000	60000
CANA	PRSP	71318	5388733	75559
CANA	PRSP	6800	476000	70000
CANA	PRSP	1891	135793	71810
CANA	PRSP	18000	1260000	70000
CANA	PRSP	10000	800000	80000
CANA	PRSP	11458	916640	80000
CANA	PRSP	6030	482400	80000
CANA	PRSP	6000	420000	70000
CANA	PRSP	7200	504000	70000
CANA	PRSP	3939	393900	100000
CANA	PRSP	112736	9201640	81621
CANA	PRSP	10040	837000	83367
CANA	PRSP	24000	2160000	90000
CANA	PRSP	6196	557640	90000
CANA	PRSP	42500	3187000	74988
CANA	PRSP	12000	1020000	85000
CANA	PRSP	18000	1440000	80000
CANA	PRSP	1384960	112073749	80922
CANA	PRSP	130320	10492800	80516
CANA	PRSP	67200	5443200	81000
CANA	PRSP	25120	2009600	80000
CANA	PRSP	38000	3040000	80000
CANA	PRSP	332847	27689959	83191
CANA	PRSP	62000	5270000	85000
CANA	PRSP	28000	2240000	80000
CANA	PRSP	18800	1466400	78000
CANA	PRSP	37417	3368860	90036
CANA	PRSP	99000	8118000	82000
CANA	PRSP	23000	1840000	80000
CANA	PRSP	18000	1439999	80000
CANA	PRSP	21630	1946700	90000
CANA	PRSP	25000	2000000	80000
CANA	PRSP	120812	9984660	82646
CANA	PRSP	12000	960000	80000
CANA	PRSP	11232	898560	80000
CANA	PRSP	22880	1831000	80026
CANA	PRSP	27200	2257600	83000
CANA	PRSP	47500	4037500	85000
CANA	PRSP	76590	6515000	85063
CANA	PRSP	5500	467500	85000
CANA	PRSP	2000	160000	80000
CANA	PRSP	800	72000	90000
CANA	PRSP	4600	368000	80000
CANA	PRSP	18750	1500000	80000
CANA	PRSP	6400	512000	80000
CANA	PRSP	14000	1120000	80000
CANA	PRSP	2690	201750	75000
CANA	PRSP	2850	213750	75000
CANA	PRSP	19000	1900000	100000
CANA	PRSP	288195	23146895	80317
CANA	PRSP	39000	2535000	65000
CANA	PRSP	2740	219200	80000
CANA	PRSP	10000	900000	90000
CANA	PRSP	21200	1802000	85000
CANA	PRSP	57550	4891750	85000
CANA	PRSP	9600	864000	90000
CANA	PRSP	14500	1087500	75000
CANA	PRSP	11900	833000	70000
CANA	PRSP	35000	2975000	85000
CANA	PRSP	7105	632345	89000
CANA	PRSP	7300	511000	70000
CANA	PRSP	7700	577500	75000
CANA	PRSP	1800	126000	70000
CANA	PRSP	28900	2572100	89000
CANA	PRSP	15000	1125000	75000
CANA	PRSP	15000	1125000	75000
CANA	PRSP	3900	370500	95000
CANA	PRSP	336919	26452615	78513
CANA	PRSP	10500	892500	85000
CANA	PRSP	14394	935610	65000
CANA	PRSP	21780	1546380	71000
CANA	PRSP	8500	722500	85000
CANA	PRSP	25391	1853572	73001
CANA	PRSP	27433	2194640	80000
CANA	PRSP	40000	3400000	85000
CANA	PRSP	26167	2224195	85000
CANA	PRSP	11000	935000	85000
CANA	PRSP	37104	2782800	75000
CANA	PRSP	18800	1504000	80000
CANA	PRSP	12600	1008000	80000
CANA	PRSP	30103	2107210	70000
CANA	PRSP	15955	1264000	79223
CANA	PRSP	7192	532208	74000
CANA	PRSP	30000	2550000	85000
CANA	PRSP	99277	7791820	78486
CANA	PRSP	28890	2137860	74000
CANA	PRSP	45200	3842000	85000
CANA	PRSP	13000	873000	67154
CANA	PRSP	1800	108000	60000
CANA	PRSP	7387	590960	80000
CANA	PRSP	3000	240000	80000
CANA	PRSP	569328	42279843	74263
CANA	PRSP	207016	15335820	74080
CANA	PRSP	35000	2625000	75000
CANA	PRSP	27100	2032500	75000
CANA	PRSP	25000	1750000	70000
CANA	PRSP	16000	1360000	85000
CANA	PRSP	9500	950000	100000
CANA	PRSP	29300	2158900	73683
CANA	PRSP	2500	175000	70000
CANA	PRSP	10860	760200	70000
CANA	PRSP	27000	1620000	60000
CANA	PRSP	14275	1170550	82000
CANA	PRSP	10481	733670	70000
CANA	PRSP	200632	15487566	77194
CANA	PRSP	35308	2824640	80000
CANA	PRSP	16500	1320000	80000
CANA	PRSP	46560	3260000	70017
CANA	PRSP	22750	1820000	80000
CANA	PRSP	10860	890520	82000
CANA	PRSP	21804	1530706	70203
CANA	PRSP	46850	3841700	82000
CANA	PRSP	161680	11456457	70859
CANA	PRSP	11700	768573	65690
CANA	PRSP	22000	1361800	61900
CANA	PRSP	7750	544205	70220
CANA	PRSP	5200	364000	70000
CANA	PRSP	10214	817120	80000
CANA	PRSP	7280	511056	70200
CANA	PRSP	2200	198000	90000
CANA	PRSP	9000	720000	80000
CANA	PRSP	6525	427649	65540
CANA	PRSP	8800	748000	85000
CANA	PRSP	5522	441760	80000
CANA	PRSP	8245	600566	72840
CANA	PRSP	3200	230400	72000
CANA	PRSP	5940	405880	68330
CANA	PRSP	32500	2154100	66280
CANA	PRSP	6882	481740	70000
CANA	PRSP	3930	298248	75890
CANA	PRSP	4792	383360	80000
CANA	PRSP	633056	48956240	77333
CANA	PRSP	131506	9657144	73435
CANA	PRSP	31554	2208793	70000
CANA	PRSP	20250	1518750	75000
CANA	PRSP	11500	805000	70000
CANA	PRSP	2636	144980	55000
CANA	PRSP	846	59220	70000
CANA	PRSP	32200	2640400	82000
CANA	PRSP	23120	1528001	66090
CANA	PRSP	9400	752000	80000
CANA	PRSP	150897	11710784	77608
CANA	PRSP	14000	854000	61000
CANA	PRSP	11000	880000	80000
CANA	PRSP	7000	581000	83000
CANA	PRSP	1200	84000	70000
CANA	PRSP	4636	417240	90000
CANA	PRSP	1450	94250	65000
CANA	PRSP	3463	235484	68000
CANA	PRSP	930	44000	47312
CANA	PRSP	230	16100	70000
CANA	PRSP	11249	674940	60000
CANA	PRSP	20000	1600000	80000
CANA	PRSP	33150	2519400	76000
CANA	PRSP	400	28800	72000
CANA	PRSP	500	35000	70000
CANA	PRSP	22000	1980000	90000
CANA	PRSP	1300	97500	75000
CANA	PRSP	5383	430640	80000
CANA	PRSP	341	27280	80000
CANA	PRSP	9400	752000	80000
CANA	PRSP	3265	359150	110000
CANA	PRSP	214960	17517372	81491
CANA	PRSP	20967	1572525	75000
CANA	PRSP	9970	847450	85000
CANA	PRSP	17100	1368000	80000
CANA	PRSP	7300	620500	85000
CANA	PRSP	36500	3102500	85000
CANA	PRSP	7021	596785	85000
CANA	PRSP	7000	525000	75000
CANA	PRSP	8550	641250	75000
CANA	PRSP	42980	3438400	80000
CANA	PRSP	14779	1270994	86000
CANA	PRSP	11493	873468	76000
CANA	PRSP	31300	2660500	85000
CANA	PRSP	56305	3682850	65409
CANA	PRSP	5000	350000	70000
CANA	PRSP	700	38500	55000
CANA	PRSP	10100	707000	70000
CANA	PRSP	12000	900000	75000
CANA	PRSP	4300	301000	70000
CANA	PRSP	15000	675000	45000
CANA	PRSP	6700	536000	80000
CANA	PRSP	2505	175350	70000
CANA	PRSP	79388	6388090	80467
CANA	PRSP	10400	832000	80000
CANA	PRSP	90	7200	80000
CANA	PRSP	20000	1600000	80000
CANA	PRSP	2668	213440	80000
CANA	PRSP	145	10150	70000
CANA	PRSP	8300	702500	84639
CANA	PRSP	37785	3022800	80000
CANA	PRSP	388125	31212725	80419
CANA	PRSP	276925	22385125	80835
CANA	PRSP	8400	672000	80000
CANA	PRSP	38000	3040000	80000
CANA	PRSP	35000	2625000	75000
CANA	PRSP	29340	2200500	75000
CANA	PRSP	9800	872200	89000
CANA	PRSP	6300	504000	80000
CANA	PRSP	31000	2635500	85016
CANA	PRSP	32000	2880000	90000
CANA	PRSP	21000	2000000	95238
CANA	PRSP	11485	976225	85000
CANA	PRSP	7900	537200	68000
CANA	PRSP	18500	1387500	75000
CANA	PRSP	13800	1035000	75000
CANA	PRSP	12000	840000	70000
CANA	PRSP	2400	180000	75000
CANA	PRSP	111200	8827600	79385
CANA	PRSP	9200	782000	85000
CANA	PRSP	28000	2240000	80000
CANA	PRSP	5100	367200	72000
CANA	PRSP	15200	1292000	85000
CANA	PRSP	18700	1346400	72000
CANA	PRSP	35000	2800000	80000
CANA	PRSP	312890	23421573	74856
